jfr cpu_and_mem_profiling.jfc
interval,time,overhead,file_size
0,46.9123218784,0,0
0.1,46.4355843072,-0.010162310286745866,1793125.8
0.09,46.06918005799999,-0.017972715624383056,1807278.6
0.08,46.009255549600006,-0.019250088092864066,1791666.8
0.07,47.060188758600006,0.0031519838345091308,1841880.0
0.06,48.7838095396,0.03989330705163189,1829464.8
0.05,47.0614039508,0.003177887310426244,1867310.0
0.04,46.854406897,-0.0012345366650178377,1882034.8
0.03,46.971683986200006,0.0012653841341274093,1955684.8
0.02,48.150529921,0.02639408993248131,2079384.2
0.019,46.993940791200004,0.0017398182296660828,2078952.6
0.018,47.4637394816,0.011754216826643406,2089661.8
0.017,47.183893343,0.005788915443237558,2123548.0
0.016,45.588368445,-0.02822186965786471,2108662.2
0.015,46.3621697448,-0.01172724161950529,2143638.0
0.014,47.095191671399995,0.0038981185683796666,2220759.4
0.013,48.5610187026,0.035144217088072055,2210347.8
0.012,47.6742797006,0.016242168191441274,2261276.4
0.011,48.298656134199994,0.02955160180290093,2322245.4
0.01,46.873056827599996,-0.0008369880071547571,2366060.6
0.009,47.3669119686,0.009690206581083945,2431329.6
0.008,48.8906367126,0.042170473662078135,2492936.8
0.007,47.908202173999996,0.021228544137750986,2592513.0
0.006,47.288446537000006,0.008017609095856453,2719675.8
0.005,48.1596698564,0.026588920097223353,2912915.8
0.004,46.982282016599996,0.0014912955786187052,3145490.2
0.003,47.48897020220001,0.012292043981423906,3559432.2
0.002,48.132330551200006,0.026006145591393946,4305791.2
0.001,49.028548668999996,0.04511025474470017,6242599.4
0.0005,47.5797722274,0.014227612752361243,6290074.0
0.0001,48.076698384000004,0.02482027021851846,6224155.6

jfr cpu_profiling.jfc
interval,time,overhead,file_size
0,46.567172028799995,0,0
0.1,48.1676451884,0.03436912936456988,378644.0
0.09,47.4771431866,0.019541044004931764,386740.8
0.08,50.41203185100001,0.08256588611011459,406946.0
0.07,46.735123085599994,0.003606640675884903,416509.8
0.06,46.9683576746,0.008615203121028857,438475.8
0.05,46.842942731600004,0.005921998068284162,463402.2
0.04,48.5107738572,0.04173759633069329,506548.8
0.03,46.0598018088,-0.010895448400564299,563226.2
0.02,47.52387379299999,0.020544553652695835,688687.8
0.019,48.466980614600004,0.04079716467697569,696801.2
0.018,48.14900156,0.03396876946321128,718988.6
0.017,47.811373324600005,0.0267184207585232,744393.4
0.016,48.0451148082,0.031737868438434534,766901.2
0.015,48.556087607,0.042710679896342855,797121.0
0.014,47.31810887419999,0.016125884666897378,823465.0
0.013,46.3460180418,-0.0047491393048995694,847804.4
0.012,47.569010008599996,0.02151382478584706,883475.6
0.011,47.231274410800005,0.014261170542829795,936851.6
0.01,46.813137779,0.005281955924828046,992562.6
0.009,46.930009923200004,0.007791709880419791,1066450.6
0.008,48.7599417958,0.04708831718713486,1127309.4
0.007,46.5153307068,-0.0011132589706742853,1239146.0
0.006,46.117578797600004,-0.009654724811760843,1370506.6
0.005,47.823447345999995,0.026977702584624258,1551596.0
0.004,48.3083180604,0.037389988606634124,1809411.2
0.003,47.5001450542,0.020034994283590915,2216154.2
0.002,47.098073420000006,0.011400765132820801,2977771.2
0.001,48.3607739104,0.038516444169955845,4979367.0
0.0005,48.3456379318,0.03819140878686152,4952387.0
0.0001,48.1113064658,0.03315929161523952,4972815.6

jfr profile.jfc
interval,time,overhead,file_size
0,46.1752072548,0,0
0.1,47.4960721768,0.02860550066860159,6112748.2
0.09,45.9908642432,-0.003992250875730212,6221867.2
0.08,49.504548326400005,0.07210235252932003,6142310.0
0.07,48.4632890918,0.0495521725408639,6253776.2
0.06,48.01900070559999,0.039930377369520674,6197757.4
0.05,49.534315284399995,0.07274700492547997,6321441.0
0.04,48.0700193114,0.04103526912492707,6333208.4
0.03,49.0963639392,0.06326244879163685,6303133.2
0.02,48.2021721018,0.043897254988266354,6476336.8
0.019,47.584290782400004,0.03051601955622033,6470371.4
0.018,47.119711969600004,0.02045480185044153,6524028.0
0.017,46.8697582864,0.015041644052995556,6648568.2
0.016,46.211091886000006,0.000777140663429835,6642761.6
0.015,47.4740460082,0.028128487788541146,6499068.0
0.014,47.34241320880001,0.025277763184889165,6466405.2
0.013,47.9320849718,0.03804807431194304,6586987.8
0.012,48.2702435914,0.04537145496801685,6571790.4
0.011,47.707668729,0.0331879717560054,6730193.2
0.01,48.06920381,0.04101760810186971,6712541.0
0.009,47.81540892620001,0.035521262792588874,6899286.2
0.008,48.189158010199996,0.0436154134465881,6756601.0
0.007,48.31383246279999,0.046315443614553115,6870152.0
0.006,48.2387083314,0.04468850708592094,7068579.0
0.005,48.1654670016,0.04310234572023731,7265735.6
0.004,47.0169966554,0.018230332913394647,7404891.2
0.003,47.3405808512,0.025238080469662846,7931898.6
0.002,49.062623280800004,0.06253173938271499,8534759.6
0.001,50.289693572800005,0.08910596319136815,10612719.0
0.0005,48.4150657058,0.048507815864045935,10584945.0
0.0001,48.220653907,0.044297508853896286,10609413.0

jfr default.jfc
interval,time,overhead,file_size
0,45.737465962,0,0
0.1,47.466010668200006,0.03779275195604691,4658120.0
0.09,46.276309655,0.011781231899635272,4513922.2
0.08,47.597156862999995,0.04066012101643492,4701402.6
0.07,47.63768615,0.041546249842060685,4661126.8
0.06,47.950240750199995,0.04837991658826115,4679365.0
0.05,49.9058755482,0.09113774667060115,4713527.6
0.04,47.5876517378,0.04045230178115218,4676985.6
0.03,46.9182612712,0.02581680651440198,4698209.8
0.02,48.003541679600005,0.0495452834987125,4731210.4
